N	h	d	l1	l2	b	delta	deltad	lambda	slambda
1	1626.5	0.33	1398	297	0.69	3.247	1.07151	632	634
2	1253	0.145	1305	300	1.51	7.021	1.018045	601	634
3	940	0.23	1397	298	1	4.687	1.07801	636	634
4	847.5	0.27	1397	298	0.88	4.125	1.11375	657	634
5	313.25	0.78	1395	300	0.3	1.395	1.0881	642	634
