N	deg	min	sec
6	275	50	26
5	275	49	06
4	275	48	19
3	275	47	40
2	275	45	59
1	275	44	30
-1	275	43	07
-2	275	41	38
-3	275	39	58
-4	275	39	13
-5	275	38	30
-6	275	37	13
